subject_id,session,task,n_channels_flagged,n_ics_removed,n_epochs
19684666,1,restEC,2,3,119
19684666,1,restEO,2,3,119
19731853,1,restEC,0,6,118
19731853,1,restEO,0,8,118
87965393,1,restEC,0,3,110
87965393,1,restEO,1,2,106
87966293,1,restEC,0,1,119
87966293,1,restEO,0,3,119
87968001,1,restEC,0,1,119
87968001,1,restEO,0,2,119
87980553,1,restEC,0,2,119
87980553,1,restEO,1,2,119
88009309,1,restEC,0,0,118
88009309,1,restEO,0,2,119
88013493,1,restEC,1,2,119
88013493,1,restEO,0,2,119
88015477,1,restEC,0,1,119
88015477,1,restEO,3,1,119
88020381,1,restEC,0,1,119
88020381,1,restEO,0,3,119
88023213,1,restEC,0,1,119
88023213,1,restEO,0,1,119
88041305,1,restEC,0,2,119
88041305,1,restEO,1,3,119
88044093,1,restEC,0,2,119
88044093,1,restEO,0,1,119
88049717,1,restEC,0,1,119
88049717,1,restEO,0,2,119
88053677,1,restEC,0,3,118
88053677,1,restEO,0,4,118
88058765,1,restEC,2,2,118
88058765,1,restEO,1,3,118
88065065,1,restEC,0,2,118
88065065,1,restEO,0,2,118
88068393,1,restEC,1,1,118
88068393,1,restEO,1,2,118
88072845,1,restEC,0,3,119
88072845,1,restEO,0,4,119
88075865,1,restEC,0,1,119
88075865,1,restEO,0,1,119
